"Akteur,""Prozess"""
"https://w3id.org/GerPS-onto/ontology#_39239818-2743-4f19-9e03-89d271189b85,""https://w3id.org/GerPS-onto/ontology#process_99006028261000_786448c6-b1c1-458f-a854-5cb8d069e5fc"""
"https://w3id.org/GerPS-onto/ontology#_4e56a483-ecbe-4104-a63c-3c63cbb55e2d,""https://w3id.org/GerPS-onto/ontology#process_99006028261000_786448c6-b1c1-458f-a854-5cb8d069e5fc"""
"https://w3id.org/GerPS-onto/ontology#_acad2737-c516-4d97-8dfd-45605e058d86,""https://w3id.org/GerPS-onto/ontology#process_99006028261000_786448c6-b1c1-458f-a854-5cb8d069e5fc"""
